Video ID number,main entry gloss label,entry/variant gloss label,occurrence label,start frame of video clip containing the sign (relative to full videos),end frame of video clip containing the sign (relative to full videos),start frame of the sign (relative to full videos),end frame of the sign (relative to full videos),Dominant start handshape,Non-dominant start handshape,Dominant end handshape,Non-dominant end handshape,full video file,sign type,Class Label
207954,(K)KITCHEN,(K)KITCHEN,(K)KITCHEN,2476,2604,2526,2554,K,B-L,K,B-L,ASL_2011_06_14_Brady_scene45-camera1.mov,Lexical Signs,(K)KITCHEN
558,(L-X)INTERESTING,(L-X)INTERESTING,(L-X)INTERESTING,1139,1257,1189,1207,L-X,L-X,A,A,ASL_2011_06_14_Brady_scene41-camera1.mov,Lexical Signs,(L-X)INTERESTING
207912,(L-X)THICK,(L-X)THICK,(L-X)THICK,1797,1914,1847,1864,L-X,,L-X,,ASL_2011_07_19_Brady_scene114-camera1.mov,Lexical Signs,(L-X)THICK
547,(L)LEATHER,(L)LEATHER,(L)LEATHER++,4146,4290,4196,4240,L,,L,,ASL_2011_06_14_Brady_scene47-camera1.mov,Lexical Signs,(L)LEATHER
39117,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,(L)LIVE+BOX/ROOM,3524,3650,3574,3600,L,L,B-L,B-L,ASL_2011_06_14_Brady_scene50-camera1.mov,Compound Signs,(L)LIVE+BOX/ROOM
566,(M)ns-MEXICO,(M)ns-MEXICO,(M)ns-MEXICO,4254,4382,4304,4332,full-M,,full-M,,ASL_2011_06_14_Brady_scene56-camera1.mov,Lexical Signs,(M)ns-MEXICO
607,(P)PARANOID,(P)PARANOID,(P)PARANOID,203,333,253,283,K,K,K,K,ASL_2011_07_19_Brady_scene26-camera1.mov,Lexical Signs,(P)PARANOID
620,(R)BEST-FRIEND,(R)BEST-FRIEND,(R)BEST-FRIEND,3836,3951,3886,3901,R,,R,,ASL_2011_06_14_Brady_scene27-camera1.mov,Lexical Signs,(R)BEST-FRIEND
656,(S)BOMB,(S)BOMB_2,(S)BOMB_2,12526,12657,12576,12607,S,S,S,S,ASL_2011_06_08_Brady_scene22-camera1.mov,Lexical Signs,(S)BOMB
207670,(S)BROOM,(S)BROOM,(S)BROOM,10964,11126,11014,11076,S,S,S,S,ASL_2011_06_08_Brady_scene23-camera1.mov,Lexical Signs,(S)BROOM
668,(S)KETCHUP,(S)KETCHUP,(S)KETCHUP+,4145,4273,4195,4223,B-L,O,B-L,O,ASL_2011_06_14_Brady_scene44-camera1.mov,Lexical Signs,(S)KETCHUP
672,(S)MOSQUITO,(S)MOSQUITO,(S)MOSQUITO+,753,900,803,850,S,S,S,S,ASL_2011_07_19_Brady_scene6-camera1.mov,Lexical Signs,(S)MOSQUITO
675,(S)PURSE,(S)PURSE,(S)PURSE+,4427,4567,4477,4517,S,,S,,ASL_2011_07_19_Brady_scene47-camera1.mov,Lexical Signs,(S)PURSE
683,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,26498,26614,26548,26564,S,S,U,U,ASL_2011_06_08_Brady_scene22-camera1.mov,Lexical Signs,(U)BOWTIE
684,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,2945,3061,2995,3011,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov,Lexical Signs,(U)BOWTIE
685,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,3521,3634,3571,3584,S,S,U,U,ASL_2011_07_19_Brady_scene59-camera1.mov,Lexical Signs,(U)BOWTIE
686,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,2916,3043,2966,2993,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene13-camera1.mov,Lexical Signs,(U)BOWTIE
687,(U)BOWTIE,(U)BOWTIE,(U)BOWTIE,1160,1284,1210,1234,cocked-U,cocked-U,U,U,ASL_2011_07_22_Brady_scene56-camera1.mov,Lexical Signs,(U)BOWTIE
207957,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL,2127,2250,2177,2200,X,,X,,ASL_2011_06_14_Brady_scene21-camera1.mov,Lexical Signs,(X)FOOL/DOLL
720,(X)FOOL/DOLL,(X)FOOL/DOLL,(X)FOOL/DOLL+,984,1111,1034,1061,X,,X,,ASL_2011_06_08_Brady_scene37-camera1.mov,Lexical Signs,(X)FOOL/DOLL
39153,(X)FOOL/DOLL+(D)DAY,(X)FOOL/DOLL+(D)DAY,(X)FOOL/DOLL++(D)DAY,10802,10951,10852,10901,X,,D,psv,ASL_2011_06_08_Brady_scene12-camera1.mov,Compound Signs,(X)FOOL/DOLL+DAY
734,(Y)BULL,(Y)BULL,(Y)BULL,5097,5225,5147,5175,Y,,Y,,ASL_2011_06_08_Brady_scene24-camera1.mov,Lexical Signs,(Y)BULL
4,"\WHAT\""""","\WHAT\""""","\WHAT\""++""",850,981,900,931,5,5,5,5,ASL_2011_07_22_Brady_scene27-camera1.mov,Lexical Signs,"\WHAT\"""""
8,#AC,#AC,#AC,282,403,332,353,A,,C,,ASL_2011_07_22_Brady_scene37-camera1.mov,Loan Signs,#AC
12,#ALL,#ALL,#ALL,7788,7907,7838,7857,A,,L,,ASL_2011_06_08_Brady_scene10-camera1.mov,Loan Signs,#ALL
19,#ASL,#ASL,#ASL,6086,6210,6136,6160,A,,L,,ASL_2011_06_08_Brady_scene11-camera1.mov,Loan Signs,#ASL
20,#ASL,#ASL,#ASL,7916,8035,7966,7985,A,,L,,ASL_2011_06_08_Brady_scene13-camera1.mov,Loan Signs,#ASL
273,#BACK,(2h)#BACK_2,(2h)#BACK_2,2244,2369,2294,2319,B-L,B-L,3,3,ASL_2011_06_08_Brady_scene15-camera1.mov,Loan Signs,#BACK
23,#BACK,#BACK,#BACK,1168,1296,1218,1246,flat-B,,3,,ASL_2011_06_08_Brady_scene15-camera1.mov,Loan Signs,#BACK
26,#BBQ,#BBQ,#BBQ,6485,6606,6535,6556,B,,alt-G_bent-L,,ASL_2011_06_08_Brady_scene16-camera1.mov,Loan Signs,#BBQ
30,#BUS,#BUS,#BUS,7660,7775,7710,7725,B-xd,,S,,ASL_2011_06_08_Brady_scene24-camera1.mov,Loan Signs,#BUS
32,#CC,#CC,#CC,2782,2898,2832,2848,C,,C,,ASL_2011_06_08_Brady_scene26-camera1.mov,Loan Signs,#CC
38,#CO,#CO,#CO,10923,11031,10973,10981,C,,O,,ASL_2011_06_08_Brady_scene24-camera1.mov,Loan Signs,#CO
41,#CP,#CP,#CP,11128,11242,11178,11192,C,,K,,ASL_2011_06_08_Brady_scene24-camera1.mov,Loan Signs,#CP
50,#EARLY,#EARLY,#EARLY,4758,4891,4808,4841,E,,Y,,ASL_2011_06_14_Brady_scene9-camera1.mov,Loan Signs,#EARLY
51,#EARLY,#EARLY,#EARLY,5316,5451,5366,5401,E,,Y,,ASL_2011_06_14_Brady_scene9-camera1.mov,Loan Signs,#EARLY
55,#ED,#ED,#ED,2878,2996,2928,2946,E,E,D,D,ASL_2011_06_14_Brady_scene10-camera1.mov,Loan Signs,#ED
59,#FF,#FF,#FF,829,941,879,891,F,,F,,ASL_2011_06_14_Brady_scene23-camera1.mov,Loan Signs,#FF
65,#HA-HA,#HA-HA,#HA-HA+,5223,5343,5273,5293,U-L,,10,,ASL_2011_06_14_Brady_scene30-camera1.mov,Loan Signs,#HA-HA
70,#HR,#HR,#HR,4955,5066,5005,5016,U,,R,,ASL_2011_06_14_Brady_scene30-camera1.mov,Loan Signs,#HR
73,#IF,#IFwg,#IFwg,102,224,152,174,I,,F,,ASL_2011_06_14_Brady_scene39-camera1.mov,Loan Signs,#IF
76,#JOB,#JOB,#JOB,4142,4253,4192,4203,I,,B,,ASL_2011_06_14_Brady_scene43-camera1.mov,Loan Signs,#JOB
81,#LAB,#LAB,#LAB,250,367,300,317,L,,B-xd,,ASL_2011_06_14_Brady_scene46-camera1.mov,Loan Signs,#LAB
87,#OD,#OD,#OD,3786,3904,3836,3854,O,,D,,ASL_2011_07_19_Brady_scene23-camera1.mov,Loan Signs,#OD
89,#OFF,#OFF,#OFF,1446,1564,1496,1514,O,,F,,ASL_2011_07_19_Brady_scene18-camera1.mov,Loan Signs,#OFF
91,#OK,#OK,#OK,2352,2460,2402,2410,O,,K,,ASL_2011_07_19_Brady_scene17-camera1.mov,Loan Signs,#OK
93,#OR,#OR,#OR,2550,2662,2600,2612,O,,R,,ASL_2011_07_19_Brady_scene17-camera1.mov,Loan Signs,#OR
274,#PE,(2h)#PE,(2h)#PE,3750,3870,3800,3820,K,K,E,E,ASL_2011_06_14_Brady_scene30-camera1.mov,Loan Signs,#PE
96,#PE,#PE,#PE,3057,3170,3107,3120,K,,E,,ASL_2011_06_14_Brady_scene30-camera1.mov,Loan Signs,#PE
99,#PO,#PO,#PO,429,547,479,497,K,,O,,ASL_2011_07_19_Brady_scene39-camera1.mov,Loan Signs,#PO
101,#REF,#REF,#REF,81,204,131,154,R,,F,,ASL_2011_07_19_Brady_scene53-camera1.mov,Loan Signs,#REF
103,#RR,#RR,#RR,921,1045,971,995,R,,R,,ASL_2011_07_19_Brady_scene58-camera1.mov,Loan Signs,#RR
106,#SS,#SS,#SS,2376,2514,2426,2464,S,,S,,ASL_2011_07_19_Brady_scene89-camera1.mov,Loan Signs,#SS
108,#TTY,#TTY,#TTY,2288,2412,2338,2362,T,,Y,,ASL_2011_07_22_Brady_scene12-camera1.mov,Loan Signs,#TTY
110,#TV,#TV,#TV+,1100,1226,1150,1176,T,,V,,ASL_2011_07_19_Brady_scene111-camera1.mov,Loan Signs,#TV
8686,#VP_2,#VP_2,#VP_2,1778,1898,1828,1848,V,,K,,ASL_2011_07_22_Brady_scene20-camera1.mov,Loan Signs,#VP_2
112,#WHAT,#WHAT,#WHAT,3288,3420,3338,3370,5,,T,,ASL_2011_07_22_Brady_scene27-camera1.mov,Loan Signs,#WHAT
114,#WILL,#WILL,#WILL,1295,1424,1345,1374,W,,L,,ASL_2011_07_22_Brady_scene30-camera1.mov,Loan Signs,#WILL
116,#WOW,#WOW,#WOW,2280,2410,2330,2360,W,,W,,ASL_2011_07_22_Brady_scene33-camera1.mov,Loan Signs,#WOW
119,#YES,#YES,#YES,2263,2380,2313,2330,Y,,S,,ASL_2011_07_22_Brady_scene35-camera1.mov,Loan Signs,#YES
755,A,A,A,6974,7098,7024,7048,A,,A,,ASL_2011_06_08_Brady_scene6-camera1.mov,Lexical Signs,A
757,A-LEVEL-ABOVE,A-LEVEL-ABOVE,A-LEVEL-ABOVE,3525,3644,3575,3594,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_07_19_Brady_scene44-camera1.mov,Lexical Signs,A-LEVEL-ABOVE
764,A-LOT,A-LOT,A-LOT,1162,1287,1212,1237,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,A-LOT
765,A-LOT,A-LOT,A-LOT,3344,3470,3394,3420,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene14-camera1.mov,Lexical Signs,A-LOT
766,A-LOT,A-LOT,A-LOT,5314,5434,5364,5384,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_14_Brady_scene37-camera1.mov,Lexical Signs,A-LOT
769,ABANDON,ABANDON,ABANDON,7789,7904,7839,7854,S,S,5,5,ASL_2011_06_08_Brady_scene6-camera1.mov,Lexical Signs,ABANDON
779,ABSENT,ABSENT,ABSENT,2768,2892,2818,2842,1,25,1,25,ASL_2011_07_19_Brady_scene3-camera1.mov,Lexical Signs,ABSENT
781,ABSTRACT,ABSTRACT,ABSTRACT+,6137,6275,6187,6225,5,5,5,5,ASL_2011_06_14_Brady_scene26-camera1.mov,Lexical Signs,ABSTRACT
784,ABUSE,ABUSE,ABUSE+,652,773,702,723,S,1,S,1,ASL_2011_06_08_Brady_scene8-camera1.mov,Lexical Signs,ABUSE
785,ABUSE,ABUSE,ABUSE+,10910,11042,10960,10992,S,1,S,1,ASL_2011_06_08_Brady_scene17-camera1.mov,Lexical Signs,ABUSE
802,ACT,ACT,ACT+,7030,7155,7080,7105,A,A,A,A,ASL_2011_06_14_Brady_scene6-camera1.mov,Lexical Signs,ACT
803,ACT,ACT,ACT+,404,539,454,489,10,10,10,10,ASL_2011_07_22_Brady_scene42-camera1.mov,Lexical Signs,ACT
39159,ACT+AGENT,ACT+AGENT,ACT+AGENT,150,279,200,229,10,10,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,ACT+AGENT
39163,ACT+AGENT,ACT+AGENT,ACT+AGENT,3072,3206,3122,3156,A,A,B-L,B-L,ASL_2011_06_08_Brady_scene15-camera1.mov,Compound Signs,ACT+AGENT
813,ACTION,ACTION,ACTION+++,7186,7358,7236,7308,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,ASL_2011_06_08_Brady_scene18-camera1.mov,Lexical Signs,ACTION
816,ADAPT,ADAPT,ADAPT,13891,14011,13941,13961,A,A,A,A,ASL_2011_06_08_Brady_scene26-camera1.mov,Lexical Signs,ADAPT
829,ADULT-TALL,ADULT,ADULT,467,585,517,535,bent-B-L,,bent-B-L,,ASL_2011_07_19_Brady_scene109-camera1.mov,Lexical Signs,ADULT-TALL
834,ADULT-TALL,ADULT-TALL,ADULT-TALL,5100,5228,5150,5178,bent-B-L,,bent-B-L,,ASL_2011_06_14_Brady_scene25-camera1.mov,Lexical Signs,ADULT-TALL
838,ADVENTUROUS/SNEAKY,ADVENTUROUS/SNEAKY,ADVENTUROUS/SNEAKY,124,275,174,225,1,B-L,1,B-L,ASL_2011_07_19_Brady_scene88-camera1.mov,Lexical Signs,ADVENTUROUS/SNEAKY
839,ADVENTUROUS/SNEAKY,ADVENTUROUS/SNEAKY,ADVENTUROUS/SNEAKY,924,1067,974,1017,1,B-L,1,B-L,ASL_2011_07_22_Brady_scene53-camera1.mov,Lexical Signs,ADVENTUROUS/SNEAKY
840,ADVERTISE,ADVERTISE,ADVERTISE+,745,878,795,828,S,S,S,S,ASL_2011_07_22_Brady_scene37-camera1.mov,Lexical Signs,ADVERTISE
207647,ADVISE/INFLUENCE,ADVISE/INFLUENCE,ADVISE/INFLUENCE,302,415,352,365,flat-O,psv,crvd-sprd-B,psv,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
856,ADVISE/INFLUENCE,ADVISE/INFLUENCE_2,ADVISE/INFLUENCE_2,2421,2537,2471,2487,flat-O,S,5,S,ASL_2011_06_14_Brady_scene40-camera1.mov,Lexical Signs,ADVISE/INFLUENCE
862,AFRAID,AFRAID,AFRAID,262,382,312,332,S,S,5,5,ASL_2011_06_14_Brady_scene17-camera1.mov,Lexical Signs,AFRAID
863,AFRAID,AFRAID,AFRAID,1580,1702,1630,1652,S,S,5,5,ASL_2011_07_19_Brady_scene73-camera1.mov,Lexical Signs,AFRAID
7460,AFRAID,SCARE,SCARE+,1098,1222,1148,1172,5,5,5,5,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,AFRAID
871,AFTERNOON,AFTERNOON_2,AFTERNOON_2,7723,7843,7773,7793,B,B,B,B,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,AFTERNOON
879,AGAIN,AGAIN,AGAIN,7929,8049,7979,7999,bent-B-L,B-L,bent-B-L,B-L,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,AGAIN
207649,AGAIN,AGAIN,AGAIN,1810,1923,1860,1873,bent-B-L,B-L,bent-B-L,B-L,ASL_2011_07_19_Brady_scene116-camera1.mov,Lexical Signs,AGAIN
883,AGAIN,AGAIN,AGAIN+++,1215,1391,1265,1341,bent-B,B-L,bent-B,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Lexical Signs,AGAIN
885,AGAINST,AGAINST,AGAINST,90,228,140,178,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene22-camera1.mov,Lexical Signs,AGAINST
888,AGE-FIVE,AGE-FIVE,AGE-FIVE,10898,11016,10948,10966,5,,5,,ASL_2011_06_08_Brady_scene5-camera1.mov,Number Signs,AGE-FIVE
889,AGE-FOUR,AGE-FOUR,AGE-FOUR,9406,9522,9456,9472,4,,4,,ASL_2011_06_08_Brady_scene5-camera1.mov,Number Signs,AGE-FOUR
890,AGE-ONE,AGE-ONE,AGE-ONE,4535,4650,4585,4600,1,,1,,ASL_2011_06_08_Brady_scene4-camera1.mov,Number Signs,AGE-ONE
891,AGE-TWO,AGE-TWO,AGE-TWO,4845,4959,4895,4909,V,,V,,ASL_2011_06_08_Brady_scene5-camera1.mov,Number Signs,AGE-TWO
892,AGENT,AGENT,AGENT,85,204,135,154,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene31-camera1.mov,Lexical Signs,AGENT
895,AGGRESSIVE,AGGRESSIVE,AGGRESSIVE+,12098,12225,12148,12175,10,10,10,10,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,AGGRESSIVE
896,AGGRESSIVE,AGGRESSIVE,AGGRESSIVE+,2772,2902,2822,2852,A,A,A,A,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,AGGRESSIVE
900,AGREE,AGREE,AGREE,321,440,371,390,1,1,1,1,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,AGREE
905,AHEAD,AHEAD,AHEAD,9451,9585,9501,9535,10,10,10,10,ASL_2011_06_08_Brady_scene19-camera1.mov,Lexical Signs,AHEAD
906,AHEAD,AHEAD,AHEAD,119,250,169,200,10,10,10,10,ASL_2011_06_08_Brady_scene21-camera1.mov,Lexical Signs,AHEAD
910,AIR-PUMP,AIR-PUMP,AIR-PUMP++,2750,2899,2800,2849,S,S,S,S,ASL_2011_07_19_Brady_scene46-camera1.mov,Lexical Signs,AIR-PUMP
916,AIRPLANE,AIRPLANE,AIRPLANE+,1180,1303,1230,1253,I-L-Y,,I-L-Y,,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,AIRPLANE
207655,AIRPLANE,AIRPLANE,AIRPLANE+,1434,1561,1484,1511,bent-L,,bent-L,,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,AIRPLANE
39334,AIRPLANE+AGENT,AIRPLANE+AGENT,AIRPLANE++AGENT,675,821,725,771,bent-L,,B-L,B-L,ASL_2011_07_19_Brady_scene33-camera1.mov,Compound Signs,AIRPLANE+AGENT
39336,AIRPLANE+AGENT,AIRPLANE+AGENT,AIRPLANE++AGENT,1621,1755,1671,1705,bent-L,,B-L,B-L,ASL_2011_06_14_Brady_scene2-camera1.mov,Compound Signs,AIRPLANE+AGENT
923,ALARM,ALARM,ALARM++,1716,1842,1766,1792,1,B-L,1,B-L,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALARM
927,ALCOHOL,ALCOHOL,ALCOHOL+,1994,2128,2044,2078,horns,horns,horns,horns,ASL_2011_06_14_Brady_scene50-camera1.mov,Lexical Signs,ALCOHOL
930,ALGEBRA,ALGEBRA_2,ALGEBRA_2+,3298,3418,3348,3368,A,A,A,A,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALGEBRA
934,ALL,ALL,ALL,7514,7643,7564,7593,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALL
941,ALL-DAY,ALL-DAY,ALL-DAY,8007,8135,8057,8085,B,B,5,B,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALL-DAY
944,ALL-NIGHT,ALL-NIGHT,ALL-NIGHT,8494,8624,8544,8574,B-xd,psv,B-xd,psv,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALL-NIGHT
946,ALL-NIGHT-AFTER-MIDNIGHT,ALL-NIGHT-AFTER-MIDNIGHT,ALL-NIGHT-AFTER-MIDNIGHT+,228,382,278,332,B-xd,,B-xd,,ASL_2011_07_19_Brady_scene2-camera1.mov,Lexical Signs,ALL-NIGHT-AFTER-MIDNIGHT
949,ALL-RIGHT,ALL-RIGHT,ALL-RIGHT+,8717,8839,8767,8789,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALL-RIGHT
5362,ALL-RIGHT,LEGAL-RIGHT,LEGAL-RIGHT,1617,1738,1667,1688,B-L,B-L,B-L,B-L,ASL_2011_07_19_Brady_scene60-camera1.mov,Lexical Signs,ALL-RIGHT
957,ALLERGY,ALLERGY,ALLERGY,8940,9054,8990,9004,1,1,1,1,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALLERGY
207656,ALLIGATOR,ALLIGATOR,ALLIGATOR,9189,9319,9239,9269,crvd-5,crvd-5,crvd-5,crvd-5,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALLIGATOR
968,ALLOW,ALLOW,ALLOW,9970,10090,10020,10040,B-L,B-L,B-L,B-L,ASL_2011_06_08_Brady_scene10-camera1.mov,Lexical Signs,ALLOW
969,ALLOW,ALLOW,ALLOW,3874,3988,3924,3938,B-L,B-L,B-L,B-L,ASL_2011_06_14_Brady_scene48-camera1.mov,Lexical Signs,ALLOW
973,ALONE,ALONE,ALONE+,3136,3261,3186,3211,1,,1,,ASL_2011_07_19_Brady_scene83-camera1.mov,Lexical Signs,ALONE
978,ALONE,ALONE,ALONE++,1380,1548,1430,1498,1,,1,,ASL_2011_06_14_Brady_scene42-camera1.mov,Lexical Signs,ALONE
207891,ALSO,ALSO,ALSO,3393,3513,3443,3463,1,1,1,1,ASL_2011_07_19_Brady_scene71-camera1.mov,Lexical Signs,ALSO
983,ALSO,ALSO,ALSO+,5552,5674,5602,5624,1,1,1,1,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,ALSO
988,ALWAYS,ALWAYS,ALWAYS,2542,2670,2592,2620,1,,1,,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,ALWAYS
989,AMAZED,AMAZED,AMAZED,4440,4560,4490,4510,S,S,crvd-sprd-B,crvd-sprd-B,ASL_2011_07_19_Brady_scene80-camera1.mov,Lexical Signs,AMAZED
478,AMBULANCE,(crvd-sprd-B)AMBULANCE,(crvd-sprd-B)AMBULANCE,3069,3199,3119,3149,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,crvd-sprd-B,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,AMBULANCE
992,AMONG,AMONG_2,AMONG_2,7526,7655,7576,7605,1,5,1,5,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,AMONG
995,ANALYZE,ANALYZE-LIST,ANALYZE-LIST+,9547,9681,9597,9631,V,V,crvd-V,crvd-V,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,ANALYZE
1000,AND,AND,AND,10753,10874,10803,10824,tight-C,,flat-O,,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,AND
207784,ANGEL,ANGEL,ANGEL,10983,11111,11033,11061,bent-B-L,bent-B-L,B-L,B-L,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,ANGEL
207785,ANGEL,ANGEL,ANGEL++,5380,5514,5430,5464,bent-B,bent-B,B-L,B-L,ASL_2011_06_14_Brady_scene20-camera1.mov,Lexical Signs,ANGEL
1010,ANGLE,ANGLE,ANGLE,11264,11403,11314,11353,1,L,1,L,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,ANGLE
277,ANGRY,(2h)alt.ANGRY,(2h)alt.ANGRY+,12326,12460,12376,12410,5-C-L,5-C-L,5-C-L,5-C-L,ASL_2011_06_08_Brady_scene9-camera1.mov,Lexical Signs,ANGRY
278,ANGRY,(2h)alt.ANGRY,(2h)alt.ANGRY+,902,1044,952,994,5-C,5-C,5-C,5-C,ASL_2011_07_19_Brady_scene50-camera1.mov,Lexical Signs,ANGRY
1014,ANIMAL,ANIMAL,ANIMAL++,11513,11647,11563,11597,bent-B-L,bent-B-L,bent-B-L,bent-B-L,ASL_2011_06_08_Brady_scene11-camera1.mov,Lexical Signs,ANIMAL
1018,ANNOUNCE,ANNOUNCE,ANNOUNCE,130,247,180,197,1,1,1,1,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,ANNOUNCE
1023,ANSWER,ANSWER,ANSWER,1660,1772,1710,1722,1,1,1,1,ASL_2011_06_08_Brady_scene12-camera1.mov,Lexical Signs,ANSWER
1024,ANSWER,ANSWER,ANSWER,18845,18961,18895,18911,1,1,1,1,ASL_2011_06_08_Brady_scene13-camera1.mov,Lexical Signs,ANSWER
1026,ANSWER,ANSWER,ANSWER,78,196,128,146,1,1,1,1,ASL_2011_07_19_Brady_scene56-camera1.mov,Lexical Signs,ANSWER
